Title,Genres
The Brand New Testament,"Comedy,Fantasy"
Ugly,"Crime,Drama,Mystery,Thriller"
Jeff Who Lives at Home,"Comedy,Drama"
Resolution,"Drama,Horror,Mystery,Thriller"
The Little Princess,"Comedy,Drama,Family,Musical"
The Love Witch,"Comedy,Horror,Romance,Thriller"
Ben X,"Drama,Thriller"
Bilal: A New Breed of Hero,"Animation,Action,Adventure"
Teddy Bear,Comedy
The War Zone,"Drama,Thriller"
The Party,"Comedy,Romance"
Anti Matter,"Mystery,Sci-Fi"
Stake Land,"Drama,Horror,Sci-Fi"
The Babushkas of Chernobyl,Documentary
Cul-de-sac,"Comedy,Drama,Thriller"
I Dream in Another Language,"Drama,Romance"
Alive Inside,"Documentary,News"
The Gathering Storm,"Biography,Drama,History"
The Hospital,"Comedy,Drama,Mystery"
Broken Blossoms,"Drama,Romance"
Wrinkles,"Animation,Drama"
Like Crazy,"Drama,Romance"
Journey's End,"Drama,War"
Internal Affairs,"Crime,Drama,Thriller"
Changing Lanes,"Drama,Thriller"
Longford,"Biography,Crime,Drama,Romance"
Nas: Time Is Illmatic,"Documentary,Biography,History,Music"
Agora,"Adventure,Biography,Drama,History,Romance"
The Dresser,Drama
Café Society,"Comedy,Drama,Romance"
Trees Lounge,"Comedy,Drama"
Sharkwater Extinction,Documentary
Suburbia,"Drama,Thriller"
Raising Victor Vargas,"Drama,Romance"
Faults,"Comedy,Crime,Drama"
Milius,"Documentary,Biography,Drama"
City of Ghosts,"Crime,Drama,Thriller"
Proof,"Crime,Drama,Mystery,Thriller"
The First Time,"Comedy,Drama,Romance"
The Mountain II,"Action,Drama,War"
Danger Close,"Action,Drama,War"
Back Roads,"Crime,Drama,Thriller"
Troop Zero,"Comedy,Drama,Family"
Salmon Fishing in the Yemen,"Comedy,Drama,Romance"
Street Fight,"Animation,Action,Comedy,Crime,Drama"
Battle of Britain,"Action,Drama,History,War"
Titli,"Action,Drama,Thriller"
Mr. Six,"Action,Drama"
Blood and Black Lace,"Horror,Mystery,Thriller"
Jin-Roh: The Wolf Brigade,"Animation,Drama,Fantasy,Thriller"
The Tuskegee Airmen,"Drama,History,War"
She's Beautiful When She's Angry,"Documentary,History"
Maidentrip,"Documentary,Adventure,Biography"
The Laramie Project,"Crime,Drama,History"
The Golem: How He Came into the World,"Fantasy,Horror"
Dilwale Dulhania Le Jayenge,"Drama,Romance"
Support Your Local Sheriff,"Comedy,Romance,Western"
Last Cab to Darwin,"Comedy,Drama,Romance"
Burn Notice: The Fall of Sam Axe,"Action,Comedy,Crime,Drama,Mystery,Thriller"
The Plague Dogs,"Animation,Adventure,Drama"
Cloudburst,"Adventure,Comedy,Drama,Romance"
Valentine Road,Documentary
Wendy and Lucy,Drama
Rat Race,"Adventure,Comedy"
Rivers and Tides,Documentary
Fan,"Action,Drama,Sport,Thriller"
All the Mornings of the World,"Biography,Drama,History,Music,Romance"
Light of My Life,"Drama,Sci-Fi,Thriller"
The Big Combo,"Crime,Drama,Film-Noir,Thriller"
The Beauty Inside,"Drama,Romance"
Beneath Hill 60,"Drama,History,War"
Naked Gun 33⅓: The Final Insult,"Comedy,Crime"
Recount,"Drama,History"
Dragonslayer,"Action,Adventure,Fantasy"
Lawn Dogs,Drama
The Flowers of War,"Drama,History,Romance,War"
Reefer Madness: The Movie Musical,"Comedy,Drama,Horror,Musical"
Veteran,"Action,Comedy,Crime,Thriller"
Mardaani,"Action,Crime,Drama,Thriller"
Thin,Documentary
California Split,"Comedy,Drama"
Out of Time,"Crime,Drama,Mystery,Thriller"
Tales of the Grim Sleeper,"Documentary,Crime"
Fahrenheit 11/9,Documentary
Gimme Danger,"Documentary,Music"
Salaam Namaste,"Comedy,Drama,Romance"
D.O.A.,"Drama,Film-Noir,Mystery,Thriller"
McLintock!,"Comedy,Romance,Western"
The Long Riders,"Biography,Crime,Western"
Any Day Now,Drama
Fat Sick & Nearly Dead,Documentary
Kill the Irishman,"Biography,Crime,Drama"
A Coffee in Berlin,"Comedy,Drama"
Penny Serenade,"Drama,Romance"
Rocket Singh: Salesman of the Year,"Comedy,Drama"
Mr. Mom,"Comedy,Drama"
Gozu,"Crime,Drama,Horror,Mystery,Thriller"
The Nutty Professor,"Comedy,Romance,Sci-Fi"
Blood Brother,"Horror,Thriller"
The Weather Underground,"Documentary,History,War"
The Falcon and the Snowman,"Biography,Crime,Drama,Thriller"
We Are Still Here,"Horror,Mystery"
Miss Granny,"Comedy,Fantasy,Music"
Eye of the Needle,"Romance,Thriller,War"
Avanti!,"Comedy,Romance"
A Girl Like Her,Drama
Cries from Syria,"Documentary,Drama"
Trouble the Water,Documentary
Shut Up and Play the Hits,"Documentary,Music"
Still Mine,Drama
Alleluia! The Devil's Carnival,"Horror,Musical"
Padmaavat,"Drama,History,Romance,War"
Why We Fight,"Documentary,History,War"
Bill & Ted's Bogus Journey,"Adventure,Comedy,Fantasy,Music,Sci-Fi"
Bones Brigade: An Autobiography,"Documentary,Sport"
The Young and Prodigious T.S. Spivet,"Action,Adventure,Comedy,Drama,Family"
Hype!,"Documentary,History,Music"
Your Vice Is a Locked Room and Only I Have the Key,"Horror,Thriller"
Sign 'o' The Times,"Documentary,Music"
Ghosts of Abu Ghraib,"Documentary,History,War"
The Connection,"Action,Crime,Thriller"
The Bodyguard,"Crime,Drama,Thriller"
The Birth of a Nation,"Drama,History,War"
The Decline of the American Empire,"Comedy,Drama"
Guava Island,"Comedy,Drama,Music,Musical,Thriller"
The Kentucky Fried Movie,Comedy
The Ninth Configuration,"Comedy,Drama,Horror,Mystery,Thriller"
Chico & Rita,"Animation,Crime,Drama,Music,Romance"
Rewind This!,Documentary
The Bride with White Hair,Action
Fast Color,"Drama,Sci-Fi,Thriller"
An American Crime,"Biography,Crime,Drama,Horror"
Dick Tracy,"Action,Comedy,Crime,Music,Romance,Thriller"
Alamar,"Documentary,Drama"
Coffy,"Action,Crime,Thriller"
Strangled,"Crime,Horror,Thriller"
Balibo,"Drama,Mystery,Thriller"
We Are Legion: The Story of the Hacktivists,Documentary
Ashes of Time,"Action,Drama"
Casting By,"Documentary,Biography"
The Little Shop of Horrors,"Comedy,Horror,Musical,Romance,Sci-Fi"
The Island,"Action,Sci-Fi,Thriller"
Neds,Drama
The Cutting Edge,"Comedy,Drama,Romance,Sport"
Meet the Patels,"Documentary,Comedy,Romance"
Topkapi,"Adventure,Comedy,Crime,Thriller"
F/X,"Action,Thriller"
Hara-Kiri: Death of a Samurai,Drama
Sui Dhaaga - Made in India,"Comedy,Drama"
Chuck Norris vs Communism,"Documentary,Comedy,History,Thriller"
Climates,"Drama,Romance"
The True Cost,"Documentary,Drama,News"
Dog Pound,Drama
Liquid Sky,"Sci-Fi,Thriller"
The Hole in the Ground,"Drama,Horror,Mystery"
Dave Made a Maze,"Adventure,Comedy,Fantasy,Horror"
Creepy,"Horror,Mystery,Thriller"
Haunters: The Art of the Scare,"Documentary,Horror"
The Ghazi Attack,"Action,Thriller,War"
Young and Innocent,"Crime,Mystery,Romance,Thriller"
The Night Eats the World,"Drama,Horror,Thriller"
Marlina the Murderer in Four Acts,"Drama,Thriller,Western"
I Capture the Castle,"Drama,Romance"
No No: A Dockumentary,"Documentary,Biography,Sport"
Badrinath Ki Dulhania,"Comedy,Drama,Romance"
Belle and Sebastian,"Adventure,Drama,Family"
White Sun,"Adventure,Drama"
What's in a Name,Drama
Bully,"Biography,Crime,Drama"
Another Country,"Biography,Drama,History,Romance"
The Decline of Western Civilization Part III,"Documentary,Music"
The Midnight Meat Train,"Horror,Mystery,Thriller"
The Living Dead at Manchester Morgue,Horror
Somers Town,"Comedy,Drama"
Nothing Sacred,"Comedy,Drama,Fantasy,Romance"
Aberdeen,Drama
Mystery Road,"Crime,Drama,Mystery,Thriller"
10 Rillington Place,"Biography,Crime,Drama,Thriller"
Spring in a Small Town,"Drama,Romance"
The Man in the Iron Mask,"Action,Adventure,Drama"
The Boys of St. Vincent,Drama
High Life,"Adventure,Drama,Horror,Mystery,Sci-Fi,Thriller"
Under the Silver Lake,"Crime,Drama,Mystery,Thriller"
Jean-Michel Basquiat: The Radiant Child,Documentary
The Farewell Party,"Comedy,Drama,Romance"
Breakfast on Pluto,"Comedy,Drama"
Give Up Tomorrow,"Documentary,Crime,Mystery,Thriller"
The Big Easy,"Comedy,Crime,Drama,Romance,Thriller"
Double Dare,"Comedy,Family,Game-Show"
Amal,Drama
Finders Keepers,Documentary
M.F.A.,"Drama,Horror,Thriller"
After Tiller,"Documentary,Biography,Drama,News"
You're Not You,Drama
Gideon's Army,Documentary
The Rape of Europa,"Documentary,History,War"
Mr. Calzaghe,"Documentary,Biography,Sport"
Wait for Your Laugh,"Documentary,Comedy"
That Sugar Film,Documentary
A Field in England,"Drama,History,Horror,Mystery"
Meatballs,Comedy
The Quiet Family,"Comedy,Crime,Horror"
Western,Drama
Morvern Callar,Drama
Trouble Is My Business,"Action,Adventure,Crime,Mystery,Thriller"
Call Me Kuchu,"Documentary,Drama"
Just Eat It: A Food Waste Story,Documentary
Cockfighter,Drama
Winning: The Racing Life of Paul Newman,"Documentary,Biography,Sport"
Best Kept Secret,"Documentary,Drama"
The Vikings,Comedy
The Soloist,"Biography,Drama,Music"
Life with Father,Comedy
Class of 1984,"Action,Crime,Drama,Thriller"
On the Edge,"Crime,Drama"
Electrick Children,Drama
Sleepless Night,"Action,Crime,Thriller"
East Side Sushi,Drama
The First Great Train Robbery,"Adventure,Crime,Drama,Thriller"
Conversations with Other Women,"Comedy,Drama,Romance"
Intact,"Drama,Fantasy,Romance,Thriller"
Apostasy,Drama
Oedipus Rex,Drama
Black Souls,"Crime,Drama"
Way Down East,"Drama,Romance"
The Violin,"Drama,Music"
Zama,Drama
Death of a Superhero,Drama
James White,Drama
Images,"Drama,Horror,Mystery"
99 River Street,"Action,Crime,Drama,Film-Noir,Thriller"
Next,"Action,Sci-Fi,Thriller"
Grave Encounters,Horror
The Woman in Green,"Drama,Mystery"
Taking Chance,"Drama,War"
Kansas City Confidential,"Crime,Drama,Film-Noir,Thriller"
The Street Fighter,"Action,Crime,Thriller"
Spun,"Comedy,Crime,Drama"
Flight of the Butterflies,"Documentary,Biography,Drama,Family"
This Beautiful Fantastic,"Comedy,Drama,Romance"
Henri-Georges Clouzot's Inferno,Documentary
The Private Life of Henry VIII,"Biography,Comedy,Drama,History,Romance"
The Forbidden Room,"Comedy,Mystery"
Suddenly,"Crime,Drama,Film-Noir,Thriller"
In the Soup,"Comedy,Drama"
Orphans of the Storm,"Drama,History,Romance"
A Late Quartet,"Drama,Music"
Inferno,"Action,Adventure,Crime,Drama,Mystery,Thriller"
Frequently Asked Questions About Time Travel,"Comedy,Sci-Fi"
The Vanishing,"Crime,Drama,Mystery,Thriller"
Antarctica: A Year on Ice,"Documentary,Adventure,Biography,Drama"
The Ultimate Gift,"Drama,Family,Romance"
What Have You Done to Solange?,"Horror,Mystery,Thriller"
Things to Come,Drama
Alice Sweet Alice,"Crime,Drama,Horror,Mystery,Thriller"
How I Ended This Summer,Drama
To End All Wars,"Action,Drama,War"
Lila Says,"Crime,Drama,Romance"
Admiral,"Action,Adventure,Biography,Drama,History"
The Fits,"Drama,Music"
The Chant of Jimmie Blacksmith,"Biography,Crime,Drama,History"
Keep the Lights On,"Drama,Romance"
Marjorie Prime,"Drama,Mystery,Romance,Sci-Fi"
Bunty Aur Babli,"Comedy,Drama,Romance"
Fear of a Black Hat,"Comedy,Music"
The Fencer,"Biography,Drama,History,Sport"
Keep the Change,"Comedy,Romance"
The Shooting,Western
Two Hands,"Comedy,Crime,Thriller"
The Golden Coach,"Comedy,Drama,History,Romance"
Savior,"Drama,War"
Young Sherlock Holmes,"Adventure,Fantasy,Mystery,Thriller"
Starry Eyes,"Drama,Fantasy,Horror,Thriller"
Home,"Animation,Adventure,Comedy,Family,Fantasy,Sci-Fi"
The Southerner,Drama
Orchestra Rehearsal,"Comedy,Drama,Music"
Family,"Drama,Family"
Narco Cultura,Documentary
Harmontown,"Comedy,Talk-Show"
Baby Boom,"Comedy,Drama,Romance"
Oddball,"Adventure,Family"
Dr. Jekyll and Mr. Hyde,"Horror,Sci-Fi"
Tiger Zinda Hai,"Action,Adventure,Thriller"
Ill Manors,"Crime,Drama"
Hollywood Shuffle,Comedy
They Look Like People,"Drama,Horror,Mystery,Thriller"
American Grindhouse,"Documentary,Action,Comedy,History,Horror"
The Winslow Boy,Drama
The Retrieval,"Adventure,Drama,Western"
The Comedy of Terrors,"Comedy,Horror"
11:55:00,"Crime,Drama"
Everlasting,"Crime,Drama,Mystery,Romance,Thriller"
Cobra Verde,"Adventure,Drama"
Cutter's Way,"Crime,Drama,Mystery,Thriller"
Sweet Land,"Drama,Romance"
T-Men,"Crime,Film-Noir,Thriller"
The Family I Had,"Documentary,Crime"
Twist of Faith,"Drama,Romance"
Brad's Status,"Comedy,Drama,Music"
Super Inframan,"Action,Sci-Fi"
Trilogy of Terror,"Horror,Thriller"
102 Not Out,"Comedy,Drama"
Cash Only,"Crime,Drama,Thriller"
Detainment,"Short,Crime,Drama"
Hichki,"Comedy,Drama"
The English Surgeon,Documentary
The Dirties,"Crime,Drama"
Unplanned,"Biography,Drama"
The Front,Drama
College,Comedy
Never Grow Old,"Action,Drama,Western"
Seoul Station,"Animation,Horror,Thriller"
Across 110th Street,"Action,Crime,Drama,Thriller"
Ice Mother,"Comedy,Drama,Romance"
Royal Wedding,"Comedy,Musical,Romance"
Almost Holy,"Documentary,Biography,Drama,News"
The Assassin,"Action,Crime,Drama,Thriller"
Bad Samaritan,"Crime,Horror,Thriller"
Stations of the Cross,Drama
Eden,"Biography,Drama,Music"
Love on a Leash,"Comedy,Drama,Fantasy,Romance"
Dreams with Sharp Teeth,"Documentary,Biography"
Little Big Man,"Adventure,Comedy,Drama,Western"
Jellyfish,Drama
Do You Trust this Computer?,Documentary
The King of Masks,Drama
Big Eden,"Comedy,Drama,Romance"
The Cat o' Nine Tails,"Horror,Mystery,Thriller"
Brimstone,"Drama,Mystery,Thriller,Western"
LFO,"Drama,Sci-Fi"
Cyrano de Bergerac,"Comedy,Drama,History,Romance"
Rabid,"Horror,Sci-Fi"
Of Human Bondage,"Drama,Romance"
Kung Fu Jungle,"Action,Crime,Thriller"
Hagazussa,"Drama,Horror"
Euthanizer,"Drama,Horror,Thriller"
The Marriage Circle,Comedy
The World Before Your Feet,Documentary
On Any Sunday,"Documentary,Sport"
In Which We Serve,"Drama,War"
The Children Act,Drama
Convoy,"Action,Drama"
What Will People Say,Drama
The Exorcist III,"Drama,Horror,Mystery"
Off the Rails,Comedy
Long Weekend,"Horror,Mystery,Thriller"
Return of the Hero,"Comedy,History"
Kid Cannabis,"Biography,Comedy,Crime,Drama"
Beauty Is Embarrassing,"Documentary,Biography,Comedy"
Blue My Mind,"Drama,Fantasy"
The Inspector General,"Comedy,Musical,Romance"
Animal Factory,"Crime,Drama"
Shanghai Triad,"Crime,Drama,History,Romance,Thriller"
Gloria Bell,"Comedy,Drama,Romance"
The Prophecy,"Action,Crime,Drama,Fantasy,Horror,Mystery,Thriller"
Manufactured Landscapes,Documentary
Cairo 678,Drama
The Way of the Gun,"Action,Crime,Drama,Thriller"
Soapdish,"Comedy,Romance"
The Third Murder,"Crime,Drama,Mystery"
Big Fan,"Comedy,Crime,Drama,Sport"
Night Owls,"Comedy,Drama"
Call Me Lucky,"Documentary,Biography,Comedy"
Anand,"Drama,Musical"
The Mule,"Crime,Drama,Thriller"
The Shout,"Drama,Horror"
The Dark,"Adventure,Horror,Thriller"
The Irish Pub,"Documentary,History,Music"
Charlie's Country,Drama
Autoluminescent: Rowland S. Howard,"Documentary,Music"
Never on Sunday,"Comedy,Drama,Romance"
The Gateway,Sci-Fi
The Pope's Toilet,"Comedy,Drama"
Hot Summer Nights,"Comedy,Crime,Drama,Romance"
Robin Hood,"Action,Adventure,Drama,History"
Palo Alto,Drama
Ray Harryhausen: Special Effects Titan,"Documentary,Biography"
The Goldfinch,Drama
Park Row,"Drama,Thriller"
Kundo: Age of the Rampant,"Action,Drama,History"
Book Club,"Comedy,Drama,Romance"
King of the Ants,"Crime,Drama,Thriller"
The Opposite of Sex,"Comedy,Drama,Romance"
Hidden Agenda,"Drama,Thriller"
The Italian,Drama
Photograph,"Drama,Romance"
Night Comes On,Drama
Untold Scandal,"Drama,Mystery,Romance"
The Hanging Garden,"Drama,Romance"
Dreamchild,"Biography,Comedy,Drama,Fantasy,Romance"
Unmistaken Child,Documentary
22 Bullets,"Action,Crime,Drama,Thriller"
The Scarlet Pimpernel,"Action,Drama,Romance"
The Story of Luke,"Comedy,Drama"
Lost Angels: Skid Row Is My Home,"Documentary,News"
Always Shine,"Drama,Horror,Mystery,Thriller"
Elizabethtown,"Comedy,Drama,Romance"
After the Dark,"Drama,Fantasy,Sci-Fi"
G.B.F.,"Comedy,Drama,Romance"
I Spit on Your Grave,"Horror,Thriller"
American Gigolo,"Crime,Drama,Mystery,Romance,Thriller"
Outfoxed: Rupert Murdoch's War on Journalism,Documentary
Upside Down: The Creation Records Story,"Documentary,Music"
White Zombie,Horror
Pork Chop Hill,"Action,Drama,War"
As If I Am Not There,Drama
The Special Relationship,"Biography,Drama,History"
Woman on the Run,"Crime,Drama,Film-Noir,Thriller"
Louis C.K.: Shameless,Comedy
Code Black,Drama
The Departure,Drama
We Have Always Lived in the Castle,"Drama,Mystery,Thriller"
King Corn,Documentary
People Places Things,Talk-Show
Something from Nothing: The Art of Rap,"Documentary,Music"
The Age of Stupid,"Documentary,History,News,War"
Chris & Don: A Love Story,"Documentary,Biography,Romance"
Angels Wear White,Drama
King and Country,"Drama,War"
Mr. Majestyk,"Action,Crime,Drama,Romance,Thriller"
Two Night Stand,"Comedy,Romance"
The Four Feathers,"Action,Adventure,Drama,Romance,War"
The Joneses,"Comedy,Drama"
Top Spin,Documentary
Orange County,"Comedy,Drama,Romance"
Saturday Church,"Drama,Fantasy,Musical"
London River,"Drama,Mystery"
A Vigilante,"Crime,Drama,Mystery,Thriller"
Tumhari Sulu,"Comedy,Drama"
The Hornet's Nest,"Documentary,Action,History,War"
A Quiet Passion,"Biography,Drama"
The Trotsky,"Comedy,Drama"
We Live in Public,
Accidental Courtesy: Daryl Davis Race & America,"Documentary,Biography,History"
The House That Dripped Blood,Horror
King Lear,"Drama,History"
The Big Kahuna,"Drama,Comedy"
Bolivia,Drama
The Story of Louis Pasteur,"Biography,Drama,History"
Dressed to Kill,"Mystery,Thriller"
Master of the Universe,Documentary
On Chesil Beach,"Drama,Music,Romance"
McKellen: Playing the Part,"Documentary,Biography"
Beauty Mark,Drama
Airplane II: The Sequel,"Comedy,Sci-Fi"
The Lady Vanishes,"Mystery,Thriller"
Nuts!,"Documentary,Animation"
White Lightning,"Action,Drama,Crime"
The Chosen,Drama
North Dallas Forty,"Comedy,Drama,Sport"
Hawks and Sparrows,"Comedy,Drama,Fantasy"
A Bucket of Blood,"Comedy,Crime,Horror"
Jab We Met,"Comedy,Drama,Romance"
Funeral in Berlin,Thriller
Mid-August Lunch,"Comedy,Drama"
Crush the Skull,"Comedy,Horror,Thriller"
Puncture,"Biography,Drama"
The Light of the Moon,Drama
Destination Wedding,"Comedy,Drama,Romance"
The Blood Is at the Doorstep,Documentary
Comic-Con Episode IV: A Fan's Hope,Documentary
Three Came Home,"Drama,War"
Shade,"Crime,Thriller"
Big Sonia,"Documentary,Family,History"
Wonderstruck,"Drama,Mystery"
Saint Ralph,"Comedy,Drama,Sport"
Bad Hair,"Comedy,Horror"
Society,"Comedy,Horror"
A Farewell to Arms,"Drama,Romance,War"
Stigmata,Horror
Tomorrow When the War Began,"Action,Adventure,Drama"
The Iron Mask,"Action,Adventure,Family,Fantasy"
The Poughkeepsie Tapes,"Horror,Mystery,Thriller"
Home for the Holidays,"Comedy,Drama,Romance"
The Wild and Wonderful Whites of West Virginia,Documentary
Christmas Again,"Drama,Romance"
He Walked by Night,"Crime,Film-Noir,Thriller"
Every Little Step,"Documentary,Music"
Prodigy,"Drama,Sci-Fi,Thriller"
Bellflower,"Action,Drama,Romance"
Crips and Bloods: Made in America,"Documentary,Crime"
StreetDance 3D,"Drama,Music,Romance"
David and Lisa,Drama
Shifty,"Crime,Drama,Thriller"
Life Itself,"Drama,Romance"
The Court-Martial of Billy Mitchell,"Biography,Drama,War"
Fuse,"Comedy,Drama"
Is Paris Burning?,"Drama,History,War"
The Dog,"Adventure,Drama"
Afghan Star,"Documentary,Music"
Interstate 60,"Adventure,Comedy,Drama,Fantasy"
Don't Come Back from the Moon,Drama
Pantani: The Accidental Death of a Cyclist,"Documentary,Biography,Sport"
The River,"Action,Adventure,Drama,Fantasy,Horror,Mystery,Sci-Fi,Thriller"
Kill Command,"Action,Horror,Sci-Fi,Thriller"
Father's Little Dividend,"Comedy,Romance"
워터댄스,
Low Tide,"Drama,Thriller"
Biggie and Tupac,"Documentary,Biography,Crime,Music"
On Her Shoulders,"Documentary,Biography"
Most Beautiful Island,"Drama,Horror,Thriller"
The Watermelon Woman,"Comedy,Drama,Romance"
The Son of Bigfoot,"Animation,Adventure,Comedy,Family,Fantasy"
The Grand Seduction,Comedy
Black Pond,"Comedy,Drama,Thriller"
A Man Called Horse,"Adventure,Drama,Western"
Night Tide,"Horror,Romance,Thriller"
Choose Me,"Comedy,Drama,Romance"
Nina Forever,"Comedy,Drama,Horror,Romance"
Aida's Secrets,Documentary
The Grocer's Son,Drama
Party Girl,"Crime,Drama,Romance"
Hawking,"Biography,Drama"
Rules of Engagement,"Comedy,Romance"
The Matchmaker,"Comedy,Romance"
Paul Williams Still Alive,"Documentary,Biography,Comedy,Musical"
Birth of the Living Dead,Documentary
Elvis & Nixon,"Comedy,History"
Daughters of Darkness,Horror
Archipelago,Drama
Louder Than Bombs,Drama
Pray the Devil Back to Hell,Documentary
Beat the Devil,"Action,Adventure,Comedy,Crime,Drama,Romance"
Rob the Mob,"Crime,Drama"
No Stone Unturned,Documentary
Possum,"Drama,Horror,Mystery,Thriller"
47 Meters Down: Uncaged,"Adventure,Drama,Horror,Thriller"
Soaked in Bleach,"Documentary,Crime"
Bachna Ae Haseeno,"Comedy,Drama,Romance"
The Uninvited,"Drama,Horror,Mystery,Thriller"
Return to Homs,"Documentary,Biography,History,News,War"
Short Eyes,Drama
Rift,"Drama,Horror,Mystery"
Twins of Evil,Horror
Welcome to Me,"Comedy,Drama"
Contract Killer,"Crime,Drama"
Love Affair,"Drama,Romance,Thriller"
The Collector,"Action,Crime,Horror,Thriller"
Les Misérables,"Drama,History,Musical,Romance,War"
True Legend,"Action,Drama,History"
The Round Up,"Drama,History,War"
Honey,"Drama,Music,Romance"
The Young Karl Marx,"Biography,Drama,History"
Punching the Clown,Comedy
Toast,"Biography,Comedy,Drama,Romance"
Yours Mine and Ours,"Comedy,Family,Fantasy,Romance"
Jawaani Jaaneman,Comedy
M.O.M. Mothers of Monsters,Thriller
Believer,"Action,Crime,Thriller"
In Syria,"Drama,War"
Never Forever,"Drama,Romance"
Blood Tea and Red String,"Animation,Fantasy"
Mischief Night,"Drama,Horror,Thriller"
A Kiss Before Dying,"Crime,Drama,Mystery,Thriller"
The Bullet Vanishes,"Action,Adventure,Drama,Mystery,Thriller"
Hitler's Children,"Drama,Romance"
Alleluia,"Crime,Horror,Romance,Thriller"
The Wipers Times,War
My Kid Could Paint That,"Documentary,Family,Mystery"
Lumumba,"Biography,Drama,History,War"
Antrum,Horror
The Snows of Kilimanjaro,"Adventure,Drama,Romance,War"
The Evil Within,Horror
Vampire's Kiss,"Comedy,Horror"
If Only,"Comedy,Drama,Fantasy,Romance"
Dark Money,"Crime,Drama,Thriller"
Arranged,"Comedy,Drama,Romance"
The Guardians,"Action,Adventure,Fantasy,Sci-Fi,Thriller"
Girl Model,"Documentary,Thriller"
Hum Tum,"Comedy,Drama,Romance"
The Sadist,Thriller
16 Acres,"Documentary,History,News"
Foxy Brown,"Action,Crime,Thriller"
In the Aisles,Drama
Cleanskin,"Action,Crime,Drama,Thriller"
The American Nightmare,"Documentary,Horror"
The Boy,"Horror,Mystery,Thriller"
Crown Heights,"Biography,Crime,Drama,Romance"
The Russian Woodpecker,"Documentary,War"
Are We Not Cats,"Comedy,Horror,Romance"
The Private Lives of Pippa Lee,"Comedy,Drama,Romance"
Eames: The Architect and the Painter,"Documentary,Biography"
The Alamo,"Adventure,Drama,History,War,Western"
Natasha,Drama
Cinema Aspirins and Vultures,"Adventure,Drama"
Patterns,Drama
Evelyn,Drama
The Island President,Documentary
Geography Club,"Comedy,Drama"
Never Goin' Back,"Comedy,Crime,Drama"
Clear History,Comedy
In the Mirror of Maya Deren,"Documentary,Biography"
Skin,"Biography,Crime,Drama,Romance"
Fritz the Cat,"Animation,Comedy,Drama"
The Secret of Santa Vittoria,"Comedy,Drama,War"
They Call Us Monsters,Documentary
Undocumented Executive,Comedy
Nightbreed,"Action,Fantasy,Horror"
The House of Magic,"Animation,Adventure,Comedy,Family,Fantasy"
The Words,"Drama,Mystery,Romance,Thriller"
Party Monster,"Biography,Crime,Drama,Thriller"
The President,Drama
Teacher of the Year,"Comedy,Drama"
The Brothers Grimm,"Action,Adventure,Comedy,Fantasy,Horror,Mystery,Thriller"
Free Enterprise,"Comedy,Romance"
Topper Returns,"Comedy,Fantasy,Mystery,Romance"
The Kill Team,"Action,Drama,Thriller,War"
Sonu Ke Titu Ki Sweety,"Comedy,Romance"
The Three Musketeers,"Action,Adventure,Fantasy,History,Romance,Thriller"
The Stuff,"Comedy,Horror,Sci-Fi"
Landline,"Comedy,Drama"
Empire of Dreams: The Story of the Star Wars Trilogy,"Documentary,History,Sci-Fi"
Racing Dreams,"Documentary,Sport"
The President's Last Bang,"Comedy,Drama,History,Thriller"
Chi-Raq,"Comedy,Crime,Drama,Musical"
Escobar: Paradise Lost,"Crime,Drama,History,Romance,Thriller"
Shoot to Kill,"Action,Adventure,Crime,Drama,Thriller"
Gabrielle,"Drama,Music,Romance"
Shun Li and the Poet,Drama
Pali Road,"Drama,Fantasy,Mystery,Romance,Thriller"
Into the Blue,"Action,Adventure,Crime,Thriller"
The Little Girl Who Was Too Fond of Matches,"Drama,Horror,Mystery"
Crimes of the Heart,"Comedy,Drama"
The Descent: Part 2,"Adventure,Horror,Thriller"
Svengali,"Comedy,Music"
Scott Walker: 30 Century Man,"Documentary,Biography,Music"
Happy Hunting,"Horror,Western"
Punk's Not Dead,"Documentary,Music"
Approaching the Elephant,Documentary
Graduation,"Crime,Drama"
The People vs. George Lucas,"Documentary,Comedy"
A River Below,Documentary
The Midwife,Drama
Funny Ha Ha,"Comedy,Drama,Romance"
Me Without You,Drama
The Music of Strangers: Yo-Yo Ma and the Silk Road Ensemble,"Documentary,Music"
Tales of Halloween,"Comedy,Horror"
Street Scene,"Drama,Romance"
Tatsumi,"Animation,Biography,Drama"
Deranged,"Drama,Horror,Thriller"
The Man Who Saved the World,"Action,Adventure,Sci-Fi"
Voyager,"Action,Adventure,Sci-Fi"
The Kennel Murder Case,"Crime,Mystery"
Dark River,"Drama,Mystery,Thriller"
Ex Libris: New York Public Library,Documentary
Battle in Seattle,"Action,Drama"
Dark Blue,"Crime,Drama,Thriller"
The Bellboy,Comedy
Happythankyoumoreplease,"Comedy,Drama,Romance"
Bottle Shock,"Comedy,Drama"
Genevieve,Comedy
River of Grass,Drama
The Bridesmaid,"Thriller,Drama,Romance"
Pass Over,Drama
Bad Lucky Goat,"Comedy,Drama"
Pussy Riot: A Punk Prayer,"Documentary,Biography,Crime,Music,News"
Listen Up Philip,"Comedy,Drama"
Big Nothing,"Comedy,Crime,Thriller"
Mayor of the Sunset Strip,"Documentary,Biography,Music"
Conquest 1453,"Action,Drama,History,War"
